,,loss,loss
,,val,train
epoch,step,,
0,19,359135.9375,396730.6875
1,39,362339.625,372621.875
2,59,360258.96875,361447.65625
3,79,356515.125,357511.59375
4,99,355136.96875,356014.0625
5,119,354432.5625,355097.78125
6,139,353760.0,354407.34375
7,159,353098.25,353749.03125
8,179,352474.1875,352947.90625
9,199,351195.5625,352073.625
10,219,350113.65625,350998.84375
11,239,348699.1875,349699.71875
12,259,347172.40625,348176.21875
13,279,345192.03125,346481.15625
14,299,343029.0625,344558.84375
15,319,341124.96875,342486.5
16,339,338688.625,340301.34375
17,359,336318.03125,337988.375
18,379,334023.8125,335709.5
19,399,331797.78125,333413.125
20,419,329805.375,331215.96875
21,439,327585.25,329150.15625
22,459,325925.8125,327265.875
23,479,324271.0,325544.0625
24,499,323072.625,324024.6875
25,519,321817.25,322732.3125
26,539,320870.125,321601.78125
27,559,320035.0,320670.625
28,579,319411.6875,319991.78125
29,599,318858.46875,319343.34375
30,619,318461.125,318884.9375
31,639,318165.6875,318507.09375
32,659,317910.5625,318263.3125
33,679,317753.5625,318013.4375
34,699,317602.3125,317837.78125
35,719,317506.96875,317702.71875
36,739,317402.46875,317593.625
37,759,317329.375,317504.375
38,779,317282.0625,317426.53125
39,799,317226.71875,317426.25
40,819,317298.8125,317349.21875
41,839,317148.96875,317285.625
42,859,317132.46875,317313.09375
43,879,317114.375,317268.84375
44,899,317101.875,317277.78125
45,919,317082.125,317227.75
46,939,317077.625,317232.84375
47,959,317072.375,317223.625
48,979,317063.78125,317250.6875
49,999,317052.46875,317209.0
50,1019,317045.90625,317189.125
51,1039,317028.125,317143.15625
52,1059,317023.8125,317160.875
53,1079,317038.96875,317194.375
54,1099,317007.3125,317184.15625
55,1119,317016.21875,317139.15625
56,1139,317007.3125,317134.78125
57,1159,317011.71875,317140.9375
