y,z0,z1
0,11.060421,8.2459955
0,11.220467,8.248557
0,11.754187,8.46563
0,10.509985,8.523323
0,11.458152,9.784262
0,11.649792,8.783414
0,10.314279,7.5661716
0,12.585056,9.342364
0,10.641087,9.087651
0,11.120846,8.452007
0,10.996841,8.999162
0,11.068102,9.157311
0,11.855748,8.518997
0,11.232045,9.134494
0,11.411421,8.349138
0,11.74615,8.544483
0,11.58182,9.536448
0,12.266569,9.558664
0,10.583238,8.686206
0,11.454644,8.023957
0,12.173956,9.377361
0,11.224507,7.8970103
0,11.810755,10.035882
0,12.236948,8.978755
0,10.44549,8.726316
0,10.061528,8.554662
0,12.0826645,7.1030083
0,11.128563,9.325754
0,11.237159,9.0740185
0,11.880781,8.087151
0,11.1680155,10.223626
0,11.492106,10.231765
0,10.981829,8.428169
0,11.790266,8.6520815
5,-6.504078,1.9322436
5,-7.4908276,1.3950748
5,-5.388379,2.6708794
5,-6.4379015,4.193969
5,-6.8507814,2.8785853
5,-7.127029,1.8545758
5,-6.238047,-0.055644274
5,-6.472183,2.4190648
5,-6.143405,1.1966423
5,-6.5723267,1.5403819
5,-6.5508633,1.5605488
5,-6.91439,1.9564776
5,-6.1083937,0.0072188377
5,-6.1077323,4.1216135
5,-6.919309,0.72443986
5,-4.9233546,1.5831447
5,-7.278983,3.5311956
5,-8.11779,2.0860655
5,-5.8774557,1.3507962
5,-2.2855215,-2.114089
5,1.2985835,-4.9354415
5,-1.9561002,-1.7977593
5,1.5380173,-3.335148
5,0.2735657,-4.2749043
5,0.7967871,-4.067851
5,-5.737124,-2.7218595
5,3.5924473,-4.0484543
5,4.57919,-3.5148351
5,-0.0777421,-3.8445234
5,5.610773,-4.9656153
5,2.8537369,-3.6355834
5,5.7714276,-4.8093457
5,0.5626409,-4.4003177
5,-4.773999,-1.9952927
5,3.8306994,-4.4356375
5,3.2928548,-4.208944
5,3.229308,-4.537173
5,5.439536,-5.317767
5,6.1535883,-3.1637046
5,4.1901064,-3.782887
5,2.1610117,-4.1521864
5,4.588733,-4.576925
5,3.0319324,-2.2314396
5,4.157276,-4.048351
5,5.139981,-4.597954
5,3.1630788,-3.8664434
5,4.7349386,-2.8803823
5,5.8692265,-5.3014064
5,1.7549263,-3.2502573
5,1.5598595,-3.752783
5,4.9368224,-3.8947089
5,4.2252665,-2.7168224
5,7.76358,-4.6689167
5,2.269046,-3.607558
5,6.2749195,-4.892399
5,5.765671,-4.256
5,6.064137,-4.070374
5,5.0807266,-4.693452
5,3.6508012,-4.9522686
5,4.958586,-7.1635065
5,5.182152,-5.366706
5,4.1431894,-5.003132
5,3.4732678,-4.195482
5,5.3411217,-4.488551
5,6.7699604,-6.2890615
5,6.5882545,-4.3826737
5,8.352409,-3.7670002
5,4.9185567,-4.811014
5,6.164239,-4.1940784
5,4.99242,-4.406372
5,5.743377,-4.428248
5,7.185081,-4.687587
5,4.8309593,-3.279371
5,6.1872926,-4.8380394
5,4.111651,-4.8520164
5,-6.0519114,1.8027192
5,-7.322239,1.8052154
5,-7.3026466,2.7271767
5,-7.348505,2.174335
5,-7.690785,2.8490973
5,-6.7228613,1.4196866
5,-7.9627485,2.7635353
5,-7.1197033,1.6478802
5,-8.927038,2.0907857
5,-6.5433636,2.4002829
5,-6.0465417,1.3180733
5,-5.913055,1.6495559
5,-5.8851666,1.3233113
5,-6.1026382,1.705972
5,-6.865464,3.8411021
10,-6.859358,2.602774
10,-6.402605,0.9745103
10,-8.000828,0.41540754
10,-6.293886,1.4444559
10,-6.823162,1.5369062
10,-7.0769424,0.5010487
10,-7.6500807,3.7197886
10,-6.250591,0.790903
5,-2.2647178,-1.6524398
5,-3.2136366,-2.7726216
5,-4.452431,-2.5786402
5,-3.65714,-1.7256685
5,-5.280842,-2.0070462
5,-2.1925285,-2.69976
5,-2.0639822,-2.923617
5,-0.253577,-2.3967786
5,-3.6938426,-1.2845335
5,-3.8870788,-1.8417456
5,-4.7255864,-1.8166897
5,-1.7855399,-1.1964082
5,-3.887064,-2.672048
5,-3.7514982,-2.4793465
5,-3.05304,-1.550394
5,-0.3627231,-2.677593
5,-4.003035,1.0140526
5,-5.164081,-2.0903895
5,-4.9392285,-0.4346534
5,-6.1587567,1.812744
5,-2.5155716,-2.274509
5,-4.1849213,0.07672417
5,-4.96832,-1.0637039
5,0.8034823,-1.1524479
5,-2.783963,-1.1824895
5,-1.650866,-0.62502074
5,-6.2560177,-1.7386801
5,-3.6651933,-0.2844373
5,-6.7133894,-2.012982
5,-4.1132665,-1.0237426
5,-3.9391048,-0.49873966
5,-5.4665,0.31062722
5,-5.56184,-0.34338158
5,-5.702488,-1.5219028
5,-4.8167777,1.1877043
5,-4.5729995,-1.1497748
5,-6.09244,-1.5158489
5,-6.2040424,0.04514301
5,-6.76626,-0.13318847
5,-4.8930573,0.940215
5,-4.8091054,-1.0169754
5,-5.682639,0.3186674
5,-4.6856112,-0.98513615
5,-3.5815618,-0.082653254
5,-4.016029,0.66772366
5,-4.948816,-0.1577872
5,-4.788168,1.6226499
5,-5.339865,-0.31164432
5,-4.5452285,-0.6665615
5,-3.5093064,-0.7158121
5,-5.4367366,-0.9359154
5,-4.771054,-0.35855037
5,5.043751,-3.5645518
5,4.7148104,-3.1616511
5,4.3815613,-3.6583195
5,5.117777,-4.7464395
5,4.080088,-5.827642
5,7.0848517,-4.211457
5,4.877877,-5.610284
5,6.3528485,-3.6733956
5,7.515704,-5.836851
5,3.2196896,-4.788545
5,4.859094,-4.5919495
5,5.9902053,-3.3835583
5,-0.1913557,-3.207494
5,5.162099,-4.5112314
5,7.119879,-3.9900951
5,4.990117,-5.601474
5,6.32612,-4.7891855
5,7.8262625,-3.1814313
5,5.324222,-4.4045105
5,4.8192263,-4.600458
5,4.5279784,-4.1214113
5,5.888459,-4.5789433
5,7.0304804,-5.189578
5,5.5669346,-4.6948156
5,6.1564503,-3.2570333
5,5.4517493,-4.32026
5,5.1487017,-3.1910374
5,4.643475,-1.8591785
5,5.480099,-4.939913
5,5.991491,-4.947647
5,6.0193343,-4.2040052
5,5.9091697,-5.1465487
5,5.0298443,-4.859006
5,3.60512,-3.1153798
5,4.9299273,-5.4691415
5,6.1909714,-5.1242123
5,4.8655105,-4.3817196
5,5.1663036,-4.8998885
5,5.392977,-4.1899776
5,4.3741703,-3.148396
5,5.296197,-5.1346784
5,5.6335716,-5.7828894
5,4.6206145,-4.101711
5,-6.786462,1.271128
5,-7.0839295,2.3617182
5,-6.579075,1.5931561
5,-7.064669,2.2351942
5,-6.6373,4.414508
5,-7.7642035,1.9842796
5,-7.368874,2.225757
5,-6.5247726,3.3051004
5,-7.1113434,2.479611
5,-6.71099,0.36322618
5,-6.837911,5.8018
5,-5.7343855,1.9778545
5,-5.2002525,1.4050374
5,-6.922354,2.963612
5,-7.7197213,2.6272376
5,-7.093115,3.3822255
5,-6.2537017,3.1145787
5,-6.8468056,2.525738
5,-6.0855265,2.9936976
5,-6.451717,2.5975442
5,-5.4805098,1.3294898
5,-6.29212,3.4057713
5,-6.964134,3.2908297
5,-6.2785597,0.7412107
5,-7.833871,3.7712603
5,-8.088542,2.142604
5,-6.57438,0.40902054
5,-7.2612844,1.7391965
5,-5.7537107,3.1691508
5,-6.5146785,0.9582561
5,-6.873557,2.43407
5,-6.374239,-0.006351948
5,-6.276473,0.916768
5,-7.062134,1.5882876
5,-6.729113,1.0964882
5,-7.421253,3.2389271
5,-7.361491,3.0928457
5,-6.139278,2.2695022
5,-6.4334917,0.6957581
5,-7.4381156,2.7792673
5,-5.3089576,2.257552
5,-5.361388,2.6087773
5,-8.594136,2.0104682
5,-7.468409,1.885446
5,-6.4764743,2.3168788
5,-6.721451,0.4381361
5,-7.1560006,1.7366624
5,-6.8279004,3.4868817
