,,loss,loss
,,val,train
epoch,step,,
0,19,583301.4375,401943.125
1,39,898487.75,380128.15625
2,59,431671.4375,366772.40625
3,79,424715.34375,361429.78125
4,99,358359.25,359511.3125
5,119,356608.90625,357481.375
6,139,355734.5625,357640.09375
7,159,357676.90625,355717.5
8,179,365045.1875,354753.125
9,199,352458.25,353612.875
10,219,351186.625,352370.9375
11,239,349656.46875,351030.78125
12,259,347849.875,349514.5
13,279,345930.46875,347780.375
14,299,344309.9375,345924.3125
15,319,341861.28125,343558.8125
16,339,339732.59375,341150.84375
17,359,337288.34375,338785.625
18,379,334704.59375,336348.71875
19,399,332476.125,334049.53125
20,419,330250.0625,331748.875
21,439,328199.53125,329622.75
22,459,326429.375,327686.78125
23,479,324813.1875,325858.28125
24,499,323319.875,324255.0625
25,519,322225.40625,323046.5625
26,539,321180.6875,321872.9375
27,559,320292.25,320982.90625
28,579,319649.21875,320235.84375
29,599,319291.9375,319690.75
30,619,318905.8125,319237.6875
31,639,318552.0,318915.53125
32,659,318328.375,318575.75
33,679,318179.75,318427.59375
34,699,318001.875,318228.0
35,719,317938.75,318208.1875
36,739,317831.65625,318025.03125
37,759,317771.1875,317849.3125
38,779,317665.09375,317870.0625
39,799,317716.8125,317795.75
40,819,317663.625,317799.84375
41,839,317564.5625,317720.40625
42,859,317548.28125,317738.125
43,879,317539.875,317665.34375
44,899,317499.5625,317649.3125
45,919,317437.28125,317591.375
46,939,317419.53125,317591.90625
47,959,317476.1875,317504.90625
48,979,317408.90625,317550.375
49,999,317335.625,317477.25
50,1019,317296.96875,317472.90625
51,1039,317299.65625,317464.5
52,1059,317345.21875,317456.0
53,1079,317281.59375,317384.0625
54,1099,317278.78125,317388.6875
55,1119,317258.09375,317357.3125
56,1139,317242.9375,317378.75
57,1159,317250.03125,317328.15625
58,1179,317188.90625,317311.0625
59,1199,317223.46875,317357.25
60,1219,317205.96875,317311.625
61,1239,317201.375,317294.5
