y,z0,z1
0,-10.383352,2.3487806
0,-10.729262,1.9414026
0,-9.970059,1.7843952
0,-10.284699,2.1117222
0,-11.29989,2.3108635
0,-10.849677,2.0140088
0,-10.681298,1.4925764
0,-9.637043,2.14986
0,-10.916295,1.7972891
0,-9.326742,1.1788778
0,-9.840619,1.8099151
0,-10.669472,2.1924183
0,-11.56835,2.5240695
0,-9.28975,1.4171573
0,-10.025711,1.9971659
0,-10.25918,2.713039
0,-11.4475355,2.474477
0,-10.199827,1.281654
0,-11.294586,2.7790523
0,-11.520537,2.4397469
0,-10.514095,1.9045339
0,-11.031441,2.4732206
0,-10.970849,2.6548586
0,-10.809886,1.6024127
0,-11.252628,1.5617621
0,-9.762307,2.52544
0,-11.29006,2.99081
0,-10.383121,1.6568265
0,-10.729279,2.2213
0,-9.924647,1.2234306
0,-10.418627,1.6788762
0,-11.393658,1.8980346
0,-10.608122,1.8468616
0,-9.177991,-0.7875942
5,-2.0495462,-2.7816327
5,-2.9278934,-4.7695036
5,-2.258935,-4.802951
5,-3.314,-5.2910028
5,-2.338116,-5.1978593
5,-1.9195876,-3.2565973
5,-3.370781,-2.580264
5,-2.5500124,-2.2295384
5,-2.5381904,-3.9683323
5,-2.1268282,-3.1517222
5,-0.95398736,-5.5472918
5,-1.873444,-3.2484887
5,-2.2542953,-3.8103466
5,-1.8252544,-4.3644266
5,-2.8039181,-3.9110315
5,-0.3595401,-3.447486
5,-1.6598802,-3.649882
5,-2.480459,-4.089796
5,4.4740906,-15.701872
5,-0.4634078,-0.7503642
5,1.8435236,2.916377
5,4.10716,-3.0061255
5,2.595619,0.41615677
5,2.848765,0.5148666
5,1.6754556,0.98422843
5,1.7292471,-4.5704985
5,1.5322288,1.7682437
5,1.8110418,1.7292075
5,2.5250473,0.32607037
5,4.828129,1.8683947
5,3.1326551,1.7618904
5,5.2974324,2.1496396
5,4.5788627,1.6685117
5,1.9544501,-1.2958925
5,3.0259724,3.103409
5,2.9130888,2.282992
5,6.1181607,0.27438396
5,4.2737203,0.9079545
5,2.736318,7.0969644
5,5.338608,2.7434072
5,3.4603117,1.371313
5,-0.22816515,1.5365628
5,2.149418,0.7955154
5,2.202312,4.3628936
5,5.4356875,1.060653
5,3.9825585,0.94433075
5,5.5266895,1.7986659
5,3.875173,-0.7157788
5,4.161981,2.1015728
5,2.3723884,-1.5655591
5,6.0583344,5.586233
5,4.7863398,6.2237372
5,5.535504,7.2508783
5,6.16591,1.2964447
5,4.9157634,5.603109
5,5.4506764,5.468201
5,7.615962,5.243053
5,6.1286564,6.7206364
5,5.3788342,0.33753133
5,6.0935397,4.8219023
5,6.8897405,4.548872
5,6.656166,4.707053
5,6.0163136,5.365039
5,7.236081,4.592863
5,8.02801,4.01903
5,6.542498,5.1846504
5,5.1215177,5.4515405
5,6.7930374,5.371462
5,5.933362,4.44084
5,5.4668155,4.6463027
