,,loss,loss
,,val,train
epoch,step,,
0,19,406094.8125,399402.4375
1,39,366658.21875,375629.28125
2,59,361494.34375,362152.59375
3,79,355961.625,357313.3125
4,99,355161.65625,355682.71875
5,119,354349.78125,354866.96875
6,139,353889.09375,354306.1875
7,159,353321.6875,353786.03125
8,179,352724.90625,353172.375
9,199,351967.4375,352419.9375
10,219,350878.5625,351563.4375
11,239,349784.40625,350549.71875
12,259,348523.875,349314.96875
13,279,347078.34375,347954.21875
14,299,345274.21875,346411.25
15,319,343488.3125,344712.3125
16,339,341579.53125,342867.15625
17,359,339426.71875,340905.5
18,379,337334.6875,338893.4375
19,399,335335.09375,336848.875
20,419,333479.25,334814.09375
21,439,331633.9375,332806.53125
22,459,329455.53125,330889.53125
23,479,327895.09375,329066.8125
24,499,326113.8125,327373.5
25,519,324954.78125,325872.21875
26,539,323622.1875,324546.65625
27,559,322534.9375,323302.125
28,579,321551.40625,322285.625
29,599,320711.03125,321399.46875
30,619,320279.40625,320627.0625
31,639,319628.75,320092.65625
32,659,319191.9375,319573.40625
33,679,318846.6875,319128.375
34,699,318514.6875,318827.5625
35,719,318291.8125,318573.34375
36,739,318094.25,318305.09375
37,759,318006.96875,318128.3125
38,779,317893.375,318009.4375
39,799,317765.5625,317917.65625
40,819,317678.0625,317780.53125
41,839,317617.0,317721.9375
42,859,317563.25,317674.65625
43,879,317500.75,317614.96875
44,899,317477.9375,317565.34375
45,919,317409.40625,317526.65625
46,939,317362.0,317465.75
47,959,317334.40625,317439.53125
48,979,317281.1875,317378.53125
49,999,317272.875,317370.6875
50,1019,317240.4375,317341.03125
51,1039,317224.625,317313.625
52,1059,317194.03125,317265.625
53,1079,317157.28125,317234.25
54,1099,317139.71875,317217.125
55,1119,317119.3125,317222.4375
56,1139,317092.1875,317171.125
57,1159,317068.40625,317169.53125
58,1179,317075.71875,317178.21875
59,1199,317069.21875,317138.71875
60,1219,317050.75,317130.40625
61,1239,317051.53125,317102.5
62,1259,317056.65625,317101.75
63,1279,317090.59375,317098.5
