,,loss,loss
,,val,train
epoch,step,,
0,38,375307.9375,383549.15625
1,77,356391.125,359327.75
2,116,354690.90625,355782.0625
3,155,353525.3125,354448.6875
4,194,351778.28125,353023.5625
5,233,349349.21875,351050.59375
6,272,346340.75,348406.96875
7,311,342490.875,344970.53125
8,350,338384.40625,340975.46875
9,389,334061.4375,336687.46875
10,428,330078.21875,332405.21875
11,467,326370.75,328500.84375
12,506,323534.90625,325221.625
13,545,321441.25,322679.9375
14,584,319831.9375,320809.28125
15,623,318859.40625,319503.78125
16,662,318213.21875,318734.21875
17,701,317775.8125,318188.125
18,740,317542.40625,317866.3125
19,779,317405.71875,317691.75
20,818,317264.59375,317553.625
21,857,317227.09375,317463.25
22,896,317230.09375,317422.71875
23,935,317182.375,317402.0625
24,974,317125.96875,317384.0
25,1013,317162.96875,317356.90625
26,1052,317086.625,317372.6875
27,1091,317087.25,317334.5
28,1130,317099.96875,317327.96875
29,1169,317115.65625,317296.09375
